{X=155, Y=2}
{X=0, Y=0}
{X=229, Y=76}
{X=8, Y=0}
{X=208, Y=75}
{X=16, Y=0}
{X=112, Y=44}
{X=24, Y=0}
{X=68, Y=88}
{X=32, Y=0}
{X=115, Y=71}
{X=40, Y=0}
{X=195, Y=111}
{X=48, Y=0}
{X=52, Y=104}
{X=56, Y=0}
{X=101, Y=101}
{X=64, Y=0}
{X=60, Y=33}
{X=72, Y=0}
{X=123, Y=31}
{X=80, Y=0}
{X=40, Y=34}
{X=88, Y=0}
{X=126, Y=110}
{X=96, Y=0}
{X=40, Y=19}
{X=104, Y=0}
{X=46, Y=19}
{X=112, Y=0}
{X=144, Y=35}
{X=120, Y=0}
{X=144, Y=1}
{X=128, Y=0}
{X=1, Y=89}
{X=136, Y=0}
{X=139, Y=107}
{X=144, Y=0}
{X=211, Y=70}
{X=152, Y=0}
{X=1, Y=17}
{X=160, Y=0}
{X=120, Y=43}
{X=168, Y=0}
{X=120, Y=42}
{X=176, Y=0}
{X=222, Y=71}
{X=184, Y=0}
{X=16, Y=85}
{X=192, Y=0}
{X=16, Y=93}
{X=200, Y=0}
{X=199, Y=93}
{X=208, Y=0}
{X=5, Y=93}
{X=216, Y=0}
{X=1, Y=55}
{X=224, Y=0}
{X=202, Y=91}
{X=232, Y=0}
{X=4, Y=88}
{X=240, Y=0}
{X=14, Y=75}
{X=248, Y=0}
{X=46, Y=23}
{X=0, Y=8}
{X=161, Y=134}
{X=8, Y=8}
{X=146, Y=16}
{X=16, Y=8}
{X=119, Y=43}
{X=24, Y=8}
{X=24, Y=59}
{X=32, Y=8}
{X=56, Y=62}
{X=40, Y=8}
{X=8, Y=244}
{X=48, Y=8}
{X=78, Y=39}
{X=56, Y=8}
{X=212, Y=203}
{X=64, Y=8}
{X=27, Y=81}
{X=72, Y=8}
{X=80, Y=8}
{X=80, Y=8}
{X=87, Y=8}
{X=88, Y=8}
{X=97, Y=8}
{X=96, Y=8}
{X=96, Y=205}
{X=104, Y=8}
{X=112, Y=8}
{X=112, Y=8}
{X=120, Y=8}
{X=120, Y=8}
{X=242, Y=88}
{X=128, Y=8}
{X=221, Y=127}
{X=136, Y=8}
{X=178, Y=1}
{X=144, Y=8}
{X=192, Y=133}
{X=152, Y=8}
{X=141, Y=163}
{X=160, Y=8}
{X=168, Y=8}
{X=168, Y=8}
{X=15, Y=4}
{X=176, Y=8}
{X=183, Y=8}
{X=184, Y=8}
{X=170, Y=31}
{X=192, Y=8}
{X=192, Y=217}
{X=200, Y=8}
{X=134, Y=106}
{X=208, Y=8}
{X=224, Y=73}
{X=216, Y=8}
{X=141, Y=101}
{X=224, Y=8}
{X=113, Y=69}
{X=232, Y=8}
{X=89, Y=121}
{X=240, Y=8}
{X=120, Y=138}
{X=248, Y=8}
{X=102, Y=6}
{X=0, Y=16}
{X=6, Y=115}
{X=8, Y=16}
{X=168, Y=50}
{X=16, Y=16}
{X=160, Y=135}
{X=24, Y=16}
{X=213, Y=71}
{X=32, Y=16}
{X=68, Y=17}
{X=40, Y=16}
{X=8, Y=61}
{X=48, Y=16}
{X=121, Y=63}
{X=56, Y=16}
{X=116, Y=88}
{X=64, Y=16}
{X=94, Y=13}
{X=72, Y=16}
{X=76, Y=95}
{X=80, Y=16}
{X=129, Y=34}
{X=88, Y=16}
{X=128, Y=152}
{X=96, Y=16}
{X=99, Y=16}
{X=104, Y=16}
{X=158, Y=105}
{X=112, Y=16}
{X=120, Y=16}
{X=120, Y=16}
{X=130, Y=16}
{X=128, Y=16}
{X=232, Y=1}
{X=136, Y=16}
{X=16, Y=113}
{X=144, Y=16}
{X=144, Y=35}
{X=152, Y=16}
{X=187, Y=128}
{X=160, Y=16}
{X=13, Y=214}
{X=168, Y=16}
{X=176, Y=16}
{X=176, Y=16}
{X=161, Y=29}
{X=184, Y=16}
{X=222, Y=186}
{X=192, Y=16}
{X=233, Y=182}
{X=200, Y=16}
{X=235, Y=31}
{X=208, Y=16}
{X=234, Y=16}
{X=216, Y=16}
{X=121, Y=25}
{X=224, Y=16}
{X=5, Y=1}
{X=232, Y=16}
{X=176, Y=127}
{X=240, Y=16}
{X=198, Y=18}
{X=248, Y=16}
{X=198, Y=60}
{X=0, Y=24}
{X=204, Y=72}
{X=8, Y=24}
{X=214, Y=72}
{X=16, Y=24}
{X=215, Y=54}
{X=24, Y=24}
{X=187, Y=53}
{X=32, Y=24}
{X=19, Y=41}
{X=40, Y=24}
{X=192, Y=0}
{X=48, Y=24}
{X=6, Y=59}
{X=56, Y=24}
{X=25, Y=40}
{X=64, Y=24}
{X=27, Y=151}
{X=72, Y=24}
{X=18, Y=97}
{X=80, Y=24}
{X=11, Y=41}
{X=88, Y=24}
{X=182, Y=56}
{X=96, Y=24}
{X=75, Y=29}
{X=104, Y=24}
{X=68, Y=29}
{X=112, Y=24}
{X=38, Y=17}
{X=120, Y=24}
{X=131, Y=23}
{X=128, Y=24}
{X=136, Y=24}
{X=136, Y=24}
{X=188, Y=134}
{X=144, Y=24}
{X=154, Y=158}
{X=152, Y=24}
{X=188, Y=136}
{X=160, Y=24}
