{X=3, Y=2}
{X=0, Y=0}
{X=8, Y=1}
{X=8, Y=0}
{X=15, Y=1}
{X=16, Y=0}
{X=74, Y=63}
{X=24, Y=0}
{X=75, Y=133}
{X=32, Y=0}
{X=48, Y=8}
{X=40, Y=0}
{X=40, Y=7}
{X=48, Y=0}
{X=105, Y=59}
{X=56, Y=0}
{X=44, Y=196}
{X=64, Y=0}
{X=146, Y=209}
{X=72, Y=0}
{X=68, Y=109}
{X=80, Y=0}
{X=183, Y=142}
{X=88, Y=0}
{X=206, Y=153}
{X=96, Y=0}
{X=39, Y=131}
{X=104, Y=0}
{X=222, Y=7}
{X=112, Y=0}
{X=135, Y=215}
{X=120, Y=0}
{X=130, Y=1}
{X=128, Y=0}
{X=72, Y=92}
{X=136, Y=0}
{X=242, Y=61}
{X=144, Y=0}
{X=41, Y=40}
{X=152, Y=0}
{X=90, Y=9}
{X=160, Y=0}
{X=168, Y=1}
{X=168, Y=0}
{X=229, Y=125}
{X=176, Y=0}
{X=184, Y=1}
{X=184, Y=0}
{X=156, Y=16}
{X=192, Y=0}
{X=213, Y=132}
{X=200, Y=0}
{X=208, Y=1}
{X=208, Y=0}
{X=53, Y=0}
{X=216, Y=0}
{X=224, Y=1}
{X=224, Y=0}
{X=232, Y=1}
{X=232, Y=0}
{X=176, Y=212}
{X=240, Y=0}
{X=202, Y=159}
{X=248, Y=0}
{X=16, Y=2}
{X=0, Y=8}
{X=8, Y=9}
{X=8, Y=8}
{X=17, Y=10}
{X=16, Y=8}
{X=124, Y=48}
{X=24, Y=8}
{X=36, Y=12}
{X=32, Y=8}
{X=82, Y=51}
{X=40, Y=8}
{X=49, Y=9}
{X=48, Y=8}
{X=56, Y=8}
{X=56, Y=8}
{X=64, Y=9}
{X=64, Y=8}
{X=48, Y=122}
{X=72, Y=8}
{X=82, Y=9}
{X=80, Y=8}
{X=93, Y=42}
{X=88, Y=8}
{X=49, Y=128}
{X=96, Y=8}
{X=117, Y=5}
{X=104, Y=8}
{X=220, Y=152}
{X=112, Y=8}
{X=103, Y=15}
{X=120, Y=8}
{X=116, Y=12}
{X=128, Y=8}
{X=143, Y=7}
{X=136, Y=8}
{X=143, Y=9}
{X=144, Y=8}
{X=156, Y=8}
{X=152, Y=8}
{X=159, Y=10}
{X=160, Y=8}
{X=169, Y=8}
{X=168, Y=8}
{X=26, Y=36}
{X=176, Y=8}
{X=69, Y=112}
{X=184, Y=8}
{X=193, Y=9}
{X=192, Y=8}
{X=199, Y=9}
{X=200, Y=8}
{X=208, Y=9}
{X=208, Y=8}
{X=194, Y=9}
{X=216, Y=8}
{X=194, Y=68}
{X=224, Y=8}
{X=180, Y=119}
{X=232, Y=8}
{X=129, Y=215}
{X=240, Y=8}
{X=205, Y=156}
{X=248, Y=8}
{X=49, Y=164}
{X=0, Y=16}
{X=8, Y=15}
{X=8, Y=16}
{X=12, Y=17}
{X=16, Y=16}
{X=102, Y=116}
{X=24, Y=16}
{X=32, Y=17}
{X=32, Y=16}
{X=39, Y=17}
{X=40, Y=16}
{X=103, Y=129}
{X=48, Y=16}
{X=65, Y=114}
{X=56, Y=16}
{X=87, Y=91}
{X=64, Y=16}
{X=74, Y=16}
{X=72, Y=16}
{X=78, Y=18}
{X=80, Y=16}
{X=184, Y=158}
{X=88, Y=16}
{X=104, Y=14}
{X=96, Y=16}
{X=76, Y=123}
{X=104, Y=16}
{X=237, Y=226}
{X=112, Y=16}
{X=119, Y=18}
{X=120, Y=16}
{X=127, Y=17}
{X=128, Y=16}
{X=1, Y=2}
{X=136, Y=16}
{X=4, Y=2}
{X=144, Y=16}
{X=151, Y=17}
{X=152, Y=16}
{X=160, Y=17}
{X=160, Y=16}
