{X=141, Y=12}
{X=0, Y=0}
{X=6, Y=0}
{X=8, Y=0}
{X=146, Y=19}
{X=16, Y=0}
{X=76, Y=131}
{X=24, Y=0}
{X=91, Y=129}
{X=32, Y=0}
{X=40, Y=10}
{X=40, Y=0}
{X=161, Y=59}
{X=48, Y=0}
{X=83, Y=105}
{X=56, Y=0}
{X=216, Y=203}
{X=64, Y=0}
{X=130, Y=138}
{X=72, Y=0}
{X=184, Y=5}
{X=80, Y=0}
{X=88, Y=0}
{X=88, Y=0}
{X=97, Y=0}
{X=96, Y=0}
{X=84, Y=6}
{X=104, Y=0}
{X=192, Y=61}
{X=112, Y=0}
{X=48, Y=123}
{X=120, Y=0}
{X=136, Y=71}
{X=128, Y=0}
{X=67, Y=102}
{X=136, Y=0}
{X=136, Y=1}
{X=144, Y=0}
{X=64, Y=172}
{X=152, Y=0}
{X=88, Y=98}
{X=160, Y=0}
{X=107, Y=5}
{X=168, Y=0}
{X=199, Y=110}
{X=176, Y=0}
{X=230, Y=133}
{X=184, Y=0}
{X=30, Y=30}
{X=192, Y=0}
{X=200, Y=0}
{X=200, Y=0}
{X=176, Y=180}
{X=208, Y=0}
{X=210, Y=206}
{X=216, Y=0}
{X=228, Y=55}
{X=224, Y=0}
{X=208, Y=54}
{X=232, Y=0}
{X=244, Y=247}
{X=240, Y=0}
{X=194, Y=144}
{X=248, Y=0}
{X=0, Y=8}
{X=0, Y=8}
{X=9, Y=7}
{X=8, Y=8}
{X=36, Y=200}
{X=16, Y=8}
{X=184, Y=20}
{X=24, Y=8}
{X=64, Y=88}
{X=32, Y=8}
{X=41, Y=7}
{X=40, Y=8}
{X=62, Y=78}
{X=48, Y=8}
{X=78, Y=77}
{X=56, Y=8}
{X=66, Y=7}
{X=64, Y=8}
{X=72, Y=8}
{X=72, Y=8}
{X=247, Y=176}
{X=80, Y=8}
{X=62, Y=106}
{X=88, Y=8}
{X=85, Y=94}
{X=96, Y=8}
{X=32, Y=25}
{X=104, Y=8}
{X=72, Y=22}
{X=112, Y=8}
{X=144, Y=1}
{X=120, Y=8}
{X=178, Y=3}
{X=128, Y=8}
{X=135, Y=8}
{X=136, Y=8}
{X=139, Y=9}
{X=144, Y=8}
{X=157, Y=6}
{X=152, Y=8}
{X=156, Y=8}
{X=160, Y=8}
{X=160, Y=16}
{X=168, Y=8}
{X=176, Y=8}
{X=176, Y=8}
{X=59, Y=103}
{X=184, Y=8}
{X=220, Y=8}
{X=192, Y=8}
{X=167, Y=150}
{X=200, Y=8}
{X=208, Y=8}
{X=208, Y=8}
{X=213, Y=149}
{X=216, Y=8}
