{X=130, Y=7}
{X=0, Y=0}
{X=81, Y=237}
{X=8, Y=0}
{X=225, Y=73}
{X=16, Y=0}
{X=19, Y=0}
{X=24, Y=0}
{X=144, Y=144}
{X=32, Y=0}
{X=224, Y=79}
{X=40, Y=0}
{X=14, Y=70}
{X=48, Y=0}
{X=122, Y=20}
{X=56, Y=0}
{X=233, Y=167}
{X=64, Y=0}
{X=243, Y=16}
{X=72, Y=0}
{X=176, Y=17}
{X=80, Y=0}
{X=140, Y=11}
{X=88, Y=0}
{X=113, Y=91}
{X=96, Y=0}
{X=4, Y=24}
{X=104, Y=0}
{X=35, Y=14}
{X=112, Y=0}
{X=96, Y=20}
{X=120, Y=0}
{X=16, Y=25}
{X=128, Y=0}
{X=136, Y=35}
{X=136, Y=0}
{X=164, Y=121}
{X=144, Y=0}
{X=172, Y=120}
{X=152, Y=0}
{X=220, Y=114}
{X=160, Y=0}
{X=113, Y=16}
{X=168, Y=0}
{X=47, Y=100}
{X=176, Y=0}
{X=212, Y=24}
{X=184, Y=0}
{X=0, Y=3}
{X=192, Y=0}
{X=20, Y=108}
{X=200, Y=0}
{X=56, Y=14}
{X=208, Y=0}
{X=192, Y=117}
{X=216, Y=0}
{X=56, Y=13}
{X=224, Y=0}
{X=141, Y=0}
{X=232, Y=0}
{X=60, Y=12}
{X=240, Y=0}
{X=169, Y=42}
{X=248, Y=0}
{X=246, Y=171}
{X=0, Y=8}
{X=12, Y=5}
{X=8, Y=8}
{X=23, Y=5}
{X=16, Y=8}
{X=28, Y=5}
{X=24, Y=8}
{X=35, Y=5}
{X=32, Y=8}
{X=43, Y=5}
{X=40, Y=8}
{X=136, Y=97}
{X=48, Y=8}
{X=176, Y=218}
{X=56, Y=8}
{X=87, Y=6}
{X=64, Y=8}
{X=171, Y=207}
{X=72, Y=8}
{X=102, Y=18}
{X=80, Y=8}
{X=168, Y=19}
{X=88, Y=8}
{X=192, Y=247}
{X=96, Y=8}
{X=84, Y=10}
{X=104, Y=8}
{X=1, Y=69}
{X=112, Y=8}
{X=124, Y=6}
{X=120, Y=8}
{X=144, Y=7}
{X=128, Y=8}
{X=203, Y=194}
{X=136, Y=8}
{X=63, Y=104}
{X=144, Y=8}
{X=16, Y=25}
{X=152, Y=8}
{X=146, Y=11}
{X=160, Y=8}
{X=170, Y=6}
{X=168, Y=8}
{X=178, Y=5}
{X=176, Y=8}
{X=11, Y=113}
{X=184, Y=8}
{X=205, Y=213}
{X=192, Y=8}
{X=16, Y=208}
{X=200, Y=8}
{X=209, Y=5}
{X=208, Y=8}
{X=87, Y=196}
{X=216, Y=8}
{X=226, Y=6}
{X=224, Y=8}
{X=234, Y=6}
{X=232, Y=8}
{X=241, Y=6}
{X=240, Y=8}
{X=202, Y=223}
{X=248, Y=8}
{X=86, Y=0}
{X=0, Y=16}
{X=11, Y=13}
{X=8, Y=16}
{X=20, Y=13}
{X=16, Y=16}
{X=192, Y=6}
{X=24, Y=16}
{X=22, Y=15}
{X=32, Y=16}
{X=161, Y=25}
{X=40, Y=16}
{X=211, Y=117}
{X=48, Y=16}
{X=51, Y=18}
{X=56, Y=16}
{X=24, Y=105}
{X=64, Y=16}
{X=178, Y=44}
{X=72, Y=16}
{X=175, Y=119}
{X=80, Y=16}
{X=173, Y=118}
{X=88, Y=16}
{X=175, Y=217}
{X=96, Y=16}
{X=85, Y=236}
{X=104, Y=16}
{X=120, Y=13}
{X=112, Y=16}
{X=121, Y=13}
{X=120, Y=16}
{X=131, Y=13}
{X=128, Y=16}
{X=228, Y=29}
{X=136, Y=16}
{X=224, Y=141}
{X=144, Y=16}
{X=223, Y=141}
{X=152, Y=16}
{X=36, Y=196}
{X=160, Y=16}
{X=228, Y=152}
{X=168, Y=16}
{X=177, Y=14}
{X=176, Y=16}
{X=15, Y=0}
{X=184, Y=16}
{X=197, Y=14}
{X=192, Y=16}
{X=202, Y=14}
{X=200, Y=16}
{X=207, Y=12}
{X=208, Y=16}
{X=217, Y=13}
{X=216, Y=16}
{X=170, Y=31}
{X=224, Y=16}
{X=26, Y=201}
{X=232, Y=16}
{X=244, Y=145}
{X=240, Y=16}
{X=160, Y=18}
{X=248, Y=16}
{X=171, Y=138}
{X=0, Y=24}
{X=240, Y=137}
{X=8, Y=24}
{X=16, Y=12}
{X=16, Y=24}
{X=26, Y=21}
{X=24, Y=24}
{X=25, Y=14}
{X=32, Y=24}
{X=43, Y=247}
{X=40, Y=24}
{X=219, Y=29}
{X=48, Y=24}
{X=209, Y=120}
{X=56, Y=24}
{X=224, Y=29}
{X=64, Y=24}
{X=16, Y=24}
{X=72, Y=24}
{X=208, Y=118}
{X=80, Y=24}
{X=224, Y=26}
{X=88, Y=24}
{X=223, Y=29}
{X=96, Y=24}
{X=109, Y=20}
{X=104, Y=24}
{X=115, Y=21}
{X=112, Y=24}
{X=169, Y=116}
{X=120, Y=24}
{X=170, Y=123}
{X=128, Y=24}
{X=227, Y=73}
{X=136, Y=24}
{X=220, Y=136}
{X=144, Y=24}
{X=6, Y=24}
{X=152, Y=24}
{X=232, Y=168}
{X=160, Y=24}
{X=169, Y=21}
{X=168, Y=24}
{X=38, Y=17}
{X=176, Y=24}
{X=42, Y=18}
{X=184, Y=24}
{X=49, Y=20}
{X=192, Y=24}
{X=44, Y=25}
{X=200, Y=24}
{X=55, Y=14}
{X=208, Y=24}
{X=129, Y=16}
{X=216, Y=24}
{X=19, Y=211}
{X=224, Y=24}
{X=210, Y=210}
{X=232, Y=24}
{X=28, Y=203}
{X=240, Y=24}
{X=40, Y=159}
{X=248, Y=24}
{X=221, Y=34}
{X=0, Y=32}
{X=226, Y=70}
{X=8, Y=32}
{X=115, Y=1}
{X=16, Y=32}
{X=216, Y=75}
{X=24, Y=32}
{X=75, Y=25}
{X=32, Y=32}
{X=91, Y=25}
{X=40, Y=32}
{X=163, Y=29}
{X=48, Y=32}
{X=48, Y=241}
{X=56, Y=32}
{X=101, Y=18}
{X=64, Y=32}
{X=172, Y=125}
{X=72, Y=32}
{X=224, Y=34}
{X=80, Y=32}
{X=151, Y=33}
{X=88, Y=32}
{X=83, Y=11}
{X=96, Y=32}
{X=32, Y=90}
{X=104, Y=32}
{X=56, Y=16}
{X=112, Y=32}
{X=210, Y=25}
{X=120, Y=32}
{X=131, Y=29}
{X=128, Y=32}
{X=126, Y=122}
{X=136, Y=32}
{X=17, Y=103}
{X=144, Y=32}
{X=117, Y=17}
{X=152, Y=32}
{X=162, Y=29}
{X=160, Y=32}
{X=190, Y=9}
{X=168, Y=32}
{X=178, Y=29}
{X=176, Y=32}
{X=186, Y=29}
{X=184, Y=32}
{X=194, Y=30}
{X=192, Y=32}
{X=201, Y=30}
{X=200, Y=32}
{X=209, Y=29}
{X=208, Y=32}
{X=25, Y=16}
{X=216, Y=32}
{X=60, Y=115}
{X=224, Y=32}
{X=225, Y=25}
{X=232, Y=32}
{X=241, Y=29}
{X=240, Y=32}
{X=220, Y=203}
{X=248, Y=32}
{X=82, Y=21}
{X=0, Y=40}
{X=11, Y=37}
{X=8, Y=40}
{X=29, Y=101}
{X=16, Y=40}
{X=38, Y=103}
{X=24, Y=40}
{X=186, Y=58}
{X=32, Y=40}
{X=35, Y=42}
{X=40, Y=40}
{X=29, Y=49}
{X=48, Y=40}
{X=47, Y=35}
{X=56, Y=40}
{X=3, Y=104}
{X=64, Y=40}
{X=212, Y=73}
{X=72, Y=40}
{X=112, Y=20}
{X=80, Y=40}
{X=53, Y=1}
{X=88, Y=40}
{X=32, Y=88}
{X=96, Y=40}
{X=53, Y=3}
{X=104, Y=40}
{X=79, Y=41}
{X=112, Y=40}
{X=123, Y=37}
{X=120, Y=40}
{X=88, Y=10}
{X=128, Y=40}
{X=136, Y=39}
{X=136, Y=40}
{X=216, Y=82}
{X=144, Y=40}
{X=134, Y=129}
{X=152, Y=40}
{X=0, Y=39}
{X=160, Y=40}
{X=170, Y=37}
{X=168, Y=40}
{X=177, Y=37}
{X=176, Y=40}
{X=229, Y=158}
{X=184, Y=40}
{X=88, Y=44}
{X=192, Y=40}
{X=4, Y=103}
{X=200, Y=40}
{X=3, Y=75}
{X=208, Y=40}
{X=51, Y=0}
{X=216, Y=40}
{X=18, Y=54}
{X=224, Y=40}
{X=233, Y=37}
{X=232, Y=40}
{X=241, Y=37}
{X=240, Y=40}
{X=24, Y=24}
{X=248, Y=40}
{X=4, Y=106}
{X=0, Y=48}
{X=11, Y=44}
{X=8, Y=48}
{X=14, Y=73}
{X=16, Y=48}
{X=16, Y=44}
{X=24, Y=48}
{X=201, Y=53}
{X=32, Y=48}
{X=87, Y=79}
{X=40, Y=48}
{X=34, Y=85}
{X=48, Y=48}
{X=95, Y=63}
{X=56, Y=48}
{X=2, Y=55}
{X=64, Y=48}
{X=194, Y=59}
{X=72, Y=48}
{X=77, Y=11}
{X=80, Y=48}
{X=111, Y=0}
{X=88, Y=48}
{X=97, Y=45}
{X=96, Y=48}
{X=141, Y=91}
{X=104, Y=48}
{X=22, Y=101}
{X=112, Y=48}
{X=122, Y=45}
{X=120, Y=48}
{X=118, Y=103}
{X=128, Y=48}
{X=110, Y=109}
{X=136, Y=48}
{X=161, Y=53}
{X=144, Y=48}
{X=128, Y=68}
{X=152, Y=48}
{X=170, Y=49}
{X=160, Y=48}
{X=170, Y=45}
{X=168, Y=48}
{X=203, Y=35}
{X=176, Y=48}
{X=67, Y=22}
{X=184, Y=48}
{X=21, Y=96}
{X=192, Y=48}
{X=201, Y=45}
{X=200, Y=48}
{X=88, Y=88}
{X=208, Y=48}
{X=18, Y=59}
{X=216, Y=48}
{X=22, Y=89}
{X=224, Y=48}
{X=56, Y=52}
{X=232, Y=48}
{X=143, Y=85}
{X=240, Y=48}
{X=217, Y=164}
{X=248, Y=48}
{X=208, Y=72}
{X=0, Y=56}
{X=25, Y=97}
{X=8, Y=56}
{X=14, Y=64}
{X=16, Y=56}
{X=17, Y=64}
{X=24, Y=56}
{X=105, Y=62}
{X=32, Y=56}
{X=24, Y=49}
{X=40, Y=56}
{X=117, Y=40}
{X=48, Y=56}
{X=86, Y=78}
{X=56, Y=56}
{X=8, Y=60}
{X=64, Y=56}
{X=93, Y=38}
{X=72, Y=56}
{X=20, Y=43}
{X=80, Y=56}
{X=112, Y=41}
{X=88, Y=56}
{X=76, Y=13}
{X=96, Y=56}
{X=106, Y=53}
{X=104, Y=56}
{X=115, Y=52}
{X=112, Y=56}
{X=64, Y=41}
{X=120, Y=56}
{X=128, Y=54}
{X=128, Y=56}
{X=134, Y=77}
{X=136, Y=56}
{X=132, Y=69}
{X=144, Y=56}
{X=152, Y=54}
{X=152, Y=56}
{X=162, Y=53}
{X=160, Y=56}
{X=124, Y=103}
{X=168, Y=56}
{X=32, Y=39}
{X=176, Y=56}
{X=186, Y=51}
{X=184, Y=56}
{X=43, Y=83}
{X=192, Y=56}
{X=199, Y=35}
{X=200, Y=56}
