{X=60, Y=24}
{X=0, Y=0}
{X=9, Y=2}
{X=8, Y=0}
{X=50, Y=166}
{X=16, Y=0}
{X=28, Y=3}
{X=24, Y=0}
{X=126, Y=209}
{X=32, Y=0}
{X=203, Y=138}
{X=40, Y=0}
{X=144, Y=29}
{X=48, Y=0}
{X=48, Y=2}
{X=56, Y=0}
{X=141, Y=26}
{X=64, Y=0}
{X=156, Y=156}
{X=72, Y=0}
{X=185, Y=112}
{X=80, Y=0}
{X=108, Y=13}
{X=88, Y=0}
{X=224, Y=145}
{X=96, Y=0}
{X=224, Y=141}
{X=104, Y=0}
{X=67, Y=191}
{X=112, Y=0}
{X=150, Y=69}
{X=120, Y=0}
{X=130, Y=2}
{X=128, Y=0}
{X=225, Y=7}
{X=136, Y=0}
{X=163, Y=110}
{X=144, Y=0}
{X=157, Y=1}
{X=152, Y=0}
{X=32, Y=26}
{X=160, Y=0}
{X=170, Y=2}
{X=168, Y=0}
{X=171, Y=3}
{X=176, Y=0}
{X=170, Y=4}
{X=184, Y=0}
{X=222, Y=109}
{X=192, Y=0}
{X=176, Y=5}
{X=200, Y=0}
{X=70, Y=122}
{X=208, Y=0}
{X=159, Y=204}
{X=216, Y=0}
{X=29, Y=18}
{X=224, Y=0}
{X=232, Y=2}
{X=232, Y=0}
{X=139, Y=61}
{X=240, Y=0}
{X=247, Y=1}
{X=248, Y=0}
{X=82, Y=153}
{X=0, Y=8}
{X=16, Y=6}
{X=8, Y=8}
{X=16, Y=10}
{X=16, Y=8}
{X=148, Y=30}
{X=24, Y=8}
{X=97, Y=56}
{X=32, Y=8}
{X=200, Y=167}
{X=40, Y=8}
{X=202, Y=147}
{X=48, Y=8}
{X=93, Y=4}
{X=56, Y=8}
{X=97, Y=133}
{X=64, Y=8}
{X=215, Y=138}
{X=72, Y=8}
{X=129, Y=141}
{X=80, Y=8}
{X=181, Y=142}
{X=88, Y=8}
{X=120, Y=15}
{X=96, Y=8}
{X=152, Y=8}
{X=104, Y=8}
{X=226, Y=147}
{X=112, Y=8}
{X=158, Y=144}
{X=120, Y=8}
{X=127, Y=10}
{X=128, Y=8}
{X=138, Y=10}
{X=136, Y=8}
{X=128, Y=13}
{X=144, Y=8}
{X=149, Y=10}
{X=152, Y=8}
{X=148, Y=12}
{X=160, Y=8}
{X=149, Y=13}
{X=168, Y=8}
{X=218, Y=122}
{X=176, Y=8}
{X=180, Y=11}
{X=184, Y=8}
{X=153, Y=156}
{X=192, Y=8}
{X=245, Y=142}
{X=200, Y=8}
{X=137, Y=152}
{X=208, Y=8}
{X=218, Y=10}
{X=216, Y=8}
{X=168, Y=68}
{X=224, Y=8}
{X=243, Y=238}
{X=232, Y=8}
{X=242, Y=10}
{X=240, Y=8}
{X=235, Y=18}
{X=248, Y=8}
{X=0, Y=18}
{X=0, Y=16}
{X=10, Y=17}
{X=8, Y=16}
{X=215, Y=232}
{X=16, Y=16}
{X=26, Y=18}
{X=24, Y=16}
{X=37, Y=20}
{X=32, Y=16}
{X=80, Y=194}
{X=40, Y=16}
{X=91, Y=9}
{X=48, Y=16}
{X=89, Y=142}
{X=56, Y=16}
{X=62, Y=162}
{X=64, Y=16}
{X=222, Y=149}
{X=72, Y=16}
{X=92, Y=90}
{X=80, Y=16}
{X=152, Y=221}
{X=88, Y=16}
{X=200, Y=14}
{X=96, Y=16}
{X=138, Y=18}
{X=104, Y=16}
{X=154, Y=150}
{X=112, Y=16}
{X=152, Y=153}
{X=120, Y=16}
{X=144, Y=14}
{X=128, Y=16}
{X=145, Y=15}
{X=136, Y=16}
{X=144, Y=18}
{X=144, Y=16}
{X=145, Y=20}
{X=152, Y=16}
{X=144, Y=24}
{X=160, Y=16}
{X=2, Y=170}
{X=168, Y=16}
{X=28, Y=41}
{X=176, Y=16}
{X=78, Y=113}
{X=184, Y=16}
{X=192, Y=18}
{X=192, Y=16}
{X=201, Y=18}
{X=200, Y=16}
{X=209, Y=18}
{X=208, Y=16}
{X=219, Y=18}
{X=216, Y=16}
{X=226, Y=18}
{X=224, Y=16}
{X=128, Y=133}
{X=232, Y=16}
{X=96, Y=50}
{X=240, Y=16}
{X=216, Y=142}
{X=248, Y=16}
{X=200, Y=226}
{X=0, Y=24}
{X=10, Y=26}
{X=8, Y=24}
{X=17, Y=26}
{X=16, Y=24}
{X=25, Y=26}
{X=24, Y=24}
{X=32, Y=26}
{X=32, Y=24}
{X=188, Y=14}
{X=40, Y=24}
{X=179, Y=210}
{X=48, Y=24}
{X=40, Y=162}
{X=56, Y=24}
{X=173, Y=12}
{X=64, Y=24}
{X=32, Y=35}
