{X=5, Y=1}
{X=0, Y=0}
{X=2, Y=3}
{X=8, Y=0}
{X=15, Y=2}
{X=16, Y=0}
{X=23, Y=1}
{X=24, Y=0}
{X=78, Y=61}
{X=32, Y=0}
{X=193, Y=145}
{X=40, Y=0}
{X=47, Y=2}
{X=48, Y=0}
{X=82, Y=136}
{X=56, Y=0}
{X=64, Y=92}
{X=64, Y=0}
{X=94, Y=203}
{X=72, Y=0}
{X=78, Y=2}
{X=80, Y=0}
{X=92, Y=0}
{X=88, Y=0}
{X=64, Y=14}
{X=96, Y=0}
{X=221, Y=150}
{X=104, Y=0}
{X=140, Y=214}
{X=112, Y=0}
{X=122, Y=1}
{X=120, Y=0}
{X=66, Y=124}
{X=128, Y=0}
{X=137, Y=2}
{X=136, Y=0}
{X=135, Y=4}
{X=144, Y=0}
{X=144, Y=66}
{X=152, Y=0}
{X=158, Y=2}
{X=160, Y=0}
{X=146, Y=6}
{X=168, Y=0}
{X=174, Y=2}
{X=176, Y=0}
{X=184, Y=1}
{X=184, Y=0}
{X=191, Y=2}
{X=192, Y=0}
{X=198, Y=2}
{X=200, Y=0}
{X=144, Y=127}
{X=208, Y=0}
{X=216, Y=2}
{X=216, Y=0}
{X=192, Y=60}
{X=224, Y=0}
{X=230, Y=2}
{X=232, Y=0}
{X=239, Y=2}
{X=240, Y=0}
{X=139, Y=209}
{X=248, Y=0}
{X=0, Y=9}
{X=0, Y=8}
{X=8, Y=9}
{X=8, Y=8}
{X=16, Y=9}
{X=16, Y=8}
{X=23, Y=8}
{X=24, Y=8}
{X=62, Y=88}
{X=32, Y=8}
{X=89, Y=46}
{X=40, Y=8}
{X=163, Y=116}
{X=48, Y=8}
{X=55, Y=10}
{X=56, Y=8}
{X=63, Y=10}
{X=64, Y=8}
{X=223, Y=149}
{X=72, Y=8}
{X=78, Y=9}
{X=80, Y=8}
{X=107, Y=26}
{X=88, Y=8}
{X=98, Y=9}
{X=96, Y=8}
{X=101, Y=10}
{X=104, Y=8}
{X=93, Y=17}
{X=112, Y=8}
{X=116, Y=10}
{X=120, Y=8}
{X=126, Y=10}
