{X=167, Y=35}
{X=0, Y=0}
{X=224, Y=36}
{X=8, Y=0}
{X=82, Y=30}
{X=16, Y=0}
{X=107, Y=21}
{X=24, Y=0}
{X=39, Y=98}
{X=32, Y=0}
{X=217, Y=72}
{X=40, Y=0}
{X=82, Y=32}
{X=48, Y=0}
{X=63, Y=1}
{X=56, Y=0}
{X=175, Y=45}
{X=64, Y=0}
{X=126, Y=4}
{X=72, Y=0}
{X=71, Y=21}
{X=80, Y=0}
{X=16, Y=0}
{X=88, Y=0}
{X=35, Y=8}
{X=96, Y=0}
{X=51, Y=6}
{X=104, Y=0}
{X=63, Y=29}
{X=112, Y=0}
{X=193, Y=17}
{X=120, Y=0}
{X=58, Y=27}
{X=128, Y=0}
{X=172, Y=225}
{X=136, Y=0}
{X=117, Y=28}
{X=144, Y=0}
{X=152, Y=13}
{X=152, Y=0}
{X=206, Y=24}
{X=160, Y=0}
{X=152, Y=149}
{X=168, Y=0}
{X=8, Y=32}
{X=176, Y=0}
{X=120, Y=1}
{X=184, Y=0}
{X=123, Y=0}
{X=192, Y=0}
{X=72, Y=22}
{X=200, Y=0}
{X=94, Y=24}
{X=208, Y=0}
{X=82, Y=24}
{X=216, Y=0}
{X=220, Y=120}
{X=224, Y=0}
{X=214, Y=29}
{X=232, Y=0}
{X=21, Y=21}
{X=240, Y=0}
{X=94, Y=26}
{X=248, Y=0}
{X=211, Y=25}
{X=0, Y=8}
{X=183, Y=18}
{X=8, Y=8}
{X=97, Y=14}
{X=16, Y=8}
{X=136, Y=99}
{X=24, Y=8}
{X=27, Y=67}
{X=32, Y=8}
{X=228, Y=75}
{X=40, Y=8}
{X=40, Y=112}
{X=48, Y=8}
{X=160, Y=128}
{X=56, Y=8}
{X=44, Y=76}
{X=64, Y=8}
{X=66, Y=7}
{X=72, Y=8}
{X=244, Y=2}
{X=80, Y=8}
{X=128, Y=5}
{X=88, Y=8}
{X=213, Y=236}
{X=96, Y=8}
{X=222, Y=37}
{X=104, Y=8}
{X=113, Y=5}
{X=112, Y=8}
{X=119, Y=4}
{X=120, Y=8}
{X=124, Y=4}
{X=128, Y=8}
{X=137, Y=5}
{X=136, Y=8}
{X=182, Y=5}
{X=144, Y=8}
{X=18, Y=24}
{X=152, Y=8}
{X=204, Y=240}
{X=160, Y=8}
{X=11, Y=6}
{X=168, Y=8}
{X=128, Y=4}
{X=176, Y=8}
{X=169, Y=26}
{X=184, Y=8}
{X=207, Y=207}
{X=192, Y=8}
{X=86, Y=205}
{X=200, Y=8}
{X=94, Y=203}
{X=208, Y=8}
{X=189, Y=143}
{X=216, Y=8}
{X=221, Y=4}
{X=224, Y=8}
{X=231, Y=4}
{X=232, Y=8}
{X=113, Y=7}
{X=240, Y=8}
{X=247, Y=5}
{X=248, Y=8}
{X=216, Y=128}
{X=0, Y=16}
{X=114, Y=1}
{X=8, Y=16}
{X=174, Y=25}
{X=16, Y=16}
{X=220, Y=120}
{X=24, Y=16}
{X=52, Y=9}
{X=32, Y=16}
{X=216, Y=62}
{X=40, Y=16}
{X=145, Y=0}
{X=48, Y=16}
{X=142, Y=151}
{X=56, Y=16}
{X=88, Y=76}
{X=64, Y=16}
{X=6, Y=128}
{X=72, Y=16}
{X=104, Y=8}
{X=80, Y=16}
