{X=2, Y=0}
{X=0, Y=0}
{X=241, Y=37}
{X=8, Y=0}
{X=247, Y=83}
{X=16, Y=0}
{X=247, Y=84}
{X=24, Y=0}
{X=32, Y=0}
{X=32, Y=0}
{X=164, Y=93}
{X=40, Y=0}
{X=45, Y=1}
{X=48, Y=0}
{X=237, Y=38}
{X=56, Y=0}
{X=103, Y=141}
{X=64, Y=0}
{X=61, Y=94}
{X=72, Y=0}
{X=79, Y=0}
{X=80, Y=0}
{X=101, Y=137}
{X=88, Y=0}
{X=93, Y=82}
{X=96, Y=0}
{X=84, Y=106}
{X=104, Y=0}
{X=61, Y=81}
{X=112, Y=0}
{X=119, Y=1}
{X=120, Y=0}
{X=126, Y=0}
{X=128, Y=0}
{X=130, Y=0}
{X=136, Y=0}
{X=82, Y=95}
{X=144, Y=0}
{X=245, Y=160}
{X=152, Y=0}
{X=103, Y=30}
{X=160, Y=0}
{X=207, Y=176}
{X=168, Y=0}
{X=136, Y=12}
{X=176, Y=0}
{X=184, Y=0}
{X=184, Y=0}
{X=22, Y=15}
{X=192, Y=0}
{X=22, Y=15}
{X=200, Y=0}
{X=193, Y=1}
{X=208, Y=0}
{X=136, Y=191}
{X=216, Y=0}
{X=192, Y=206}
{X=224, Y=0}
{X=191, Y=52}
{X=232, Y=0}
{X=234, Y=0}
{X=240, Y=0}
{X=199, Y=207}
{X=248, Y=0}
{X=1, Y=8}
{X=0, Y=8}
{X=8, Y=7}
{X=8, Y=8}
{X=139, Y=0}
{X=16, Y=8}
{X=176, Y=110}
{X=24, Y=8}
{X=240, Y=105}
{X=32, Y=8}
{X=215, Y=93}
{X=40, Y=8}
{X=53, Y=58}
{X=48, Y=8}
{X=57, Y=7}
{X=56, Y=8}
{X=61, Y=12}
{X=64, Y=8}
{X=64, Y=142}
{X=72, Y=8}
{X=78, Y=10}
{X=80, Y=8}
{X=91, Y=6}
{X=88, Y=8}
{X=192, Y=41}
{X=96, Y=8}
{X=137, Y=52}
{X=104, Y=8}
{X=87, Y=73}
{X=112, Y=8}
{X=120, Y=8}
{X=120, Y=8}
{X=126, Y=7}
{X=128, Y=8}
{X=103, Y=29}
{X=136, Y=8}
{X=145, Y=8}
{X=144, Y=8}
{X=152, Y=8}
{X=152, Y=8}
{X=160, Y=8}
{X=160, Y=8}
{X=168, Y=8}
{X=168, Y=8}
{X=176, Y=8}
{X=176, Y=8}
{X=184, Y=8}
{X=184, Y=8}
{X=192, Y=8}
{X=192, Y=8}
{X=200, Y=8}
{X=200, Y=8}
{X=230, Y=24}
{X=208, Y=8}
{X=233, Y=24}
{X=216, Y=8}
{X=219, Y=8}
{X=224, Y=8}
{X=232, Y=8}
{X=232, Y=8}
{X=240, Y=8}
{X=240, Y=8}
{X=235, Y=24}
{X=248, Y=8}
{X=67, Y=159}
{X=0, Y=16}
{X=8, Y=16}
{X=8, Y=16}
{X=16, Y=15}
{X=16, Y=16}
{X=124, Y=25}
{X=24, Y=16}
{X=102, Y=139}
{X=32, Y=16}
{X=209, Y=105}
{X=40, Y=16}
{X=48, Y=16}
{X=48, Y=16}
{X=44, Y=44}
{X=56, Y=16}
{X=50, Y=36}
{X=64, Y=16}
{X=76, Y=10}
{X=72, Y=16}
{X=52, Y=58}
{X=80, Y=16}
{X=66, Y=0}
{X=88, Y=16}
{X=99, Y=14}
{X=96, Y=16}
{X=140, Y=105}
{X=104, Y=16}
{X=155, Y=15}
{X=112, Y=16}
{X=121, Y=16}
{X=120, Y=16}
{X=129, Y=15}
{X=128, Y=16}
{X=136, Y=15}
{X=136, Y=16}
{X=144, Y=16}
{X=144, Y=16}
{X=156, Y=10}
{X=152, Y=16}
{X=191, Y=16}
{X=160, Y=16}
{X=179, Y=22}
{X=168, Y=16}
{X=211, Y=26}
{X=176, Y=16}
{X=204, Y=16}
{X=184, Y=16}
{X=207, Y=8}
{X=192, Y=16}
{X=210, Y=16}
{X=200, Y=16}
{X=209, Y=14}
{X=208, Y=16}
{X=240, Y=10}
{X=216, Y=16}
{X=230, Y=14}
{X=224, Y=16}
{X=243, Y=14}
{X=232, Y=16}
{X=240, Y=16}
{X=240, Y=16}
{X=236, Y=10}
{X=248, Y=16}
{X=45, Y=10}
{X=0, Y=24}
{X=8, Y=24}
{X=8, Y=24}
{X=183, Y=7}
{X=16, Y=24}
{X=121, Y=31}
{X=24, Y=24}
{X=32, Y=26}
{X=32, Y=24}
{X=42, Y=11}
{X=40, Y=24}
{X=38, Y=104}
{X=48, Y=24}
{X=50, Y=32}
{X=56, Y=24}
{X=38, Y=62}
{X=64, Y=24}
{X=28, Y=92}
{X=72, Y=24}
{X=80, Y=24}
{X=80, Y=24}
{X=88, Y=24}
{X=88, Y=24}
{X=225, Y=112}
{X=96, Y=24}
{X=104, Y=24}
{X=104, Y=24}
{X=114, Y=24}
{X=112, Y=24}
{X=121, Y=24}
{X=120, Y=24}
{X=129, Y=24}
{X=128, Y=24}
{X=136, Y=24}
{X=136, Y=24}
{X=144, Y=24}
{X=144, Y=24}
{X=153, Y=23}
{X=152, Y=24}
{X=179, Y=20}
{X=160, Y=24}
{X=176, Y=20}
{X=168, Y=24}
{X=177, Y=22}
{X=176, Y=24}
{X=168, Y=24}
{X=184, Y=24}
{X=214, Y=14}
{X=192, Y=24}
{X=204, Y=26}
{X=200, Y=24}
{X=205, Y=20}
{X=208, Y=24}
{X=219, Y=18}
{X=216, Y=24}
{X=227, Y=28}
{X=224, Y=24}
{X=216, Y=6}
{X=232, Y=24}
{X=226, Y=20}
{X=240, Y=24}
{X=233, Y=22}
{X=248, Y=24}
{X=70, Y=108}
{X=0, Y=32}
{X=114, Y=144}
{X=8, Y=32}
{X=17, Y=32}
{X=16, Y=32}
{X=24, Y=31}
{X=24, Y=32}
{X=49, Y=126}
{X=32, Y=32}
{X=50, Y=107}
{X=40, Y=32}
{X=49, Y=30}
{X=48, Y=32}
{X=38, Y=58}
{X=56, Y=32}
{X=68, Y=26}
{X=64, Y=32}
{X=74, Y=28}
{X=72, Y=32}
{X=83, Y=30}
{X=80, Y=32}
{X=80, Y=38}
{X=88, Y=32}
{X=81, Y=104}
{X=96, Y=32}
{X=111, Y=36}
{X=104, Y=32}
{X=128, Y=32}
{X=112, Y=32}
{X=121, Y=32}
{X=120, Y=32}
{X=129, Y=31}
{X=128, Y=32}
{X=136, Y=31}
{X=136, Y=32}
{X=145, Y=32}
{X=144, Y=32}
{X=152, Y=31}
{X=152, Y=32}
{X=227, Y=232}
{X=160, Y=32}
{X=168, Y=32}
{X=168, Y=32}
{X=176, Y=32}
{X=176, Y=32}
{X=184, Y=32}
{X=184, Y=32}
{X=192, Y=32}
{X=192, Y=32}
{X=216, Y=32}
{X=200, Y=32}
{X=234, Y=32}
{X=208, Y=32}
{X=218, Y=18}
{X=216, Y=32}
{X=229, Y=32}
{X=224, Y=32}
{X=247, Y=32}
{X=232, Y=32}
{X=234, Y=32}
{X=240, Y=32}
{X=247, Y=32}
{X=248, Y=32}
{X=0, Y=13}
{X=0, Y=40}
{X=131, Y=142}
{X=8, Y=40}
{X=245, Y=44}
{X=16, Y=40}
{X=24, Y=39}
{X=24, Y=40}
{X=164, Y=127}
{X=32, Y=40}
{X=41, Y=50}
{X=40, Y=40}
{X=34, Y=60}
{X=48, Y=40}
{X=52, Y=46}
{X=56, Y=40}
{X=68, Y=34}
{X=64, Y=40}
{X=24, Y=124}
{X=72, Y=40}
{X=80, Y=39}
{X=80, Y=40}
{X=103, Y=112}
{X=88, Y=40}
{X=210, Y=175}
{X=96, Y=40}
{X=224, Y=235}
{X=104, Y=40}
{X=37, Y=103}
{X=112, Y=40}
{X=62, Y=75}
{X=120, Y=40}
{X=128, Y=40}
{X=128, Y=40}
{X=136, Y=40}
{X=136, Y=40}
{X=144, Y=40}
{X=144, Y=40}
{X=152, Y=40}
{X=152, Y=40}
{X=160, Y=40}
{X=160, Y=40}
{X=168, Y=40}
{X=168, Y=40}
{X=176, Y=40}
{X=176, Y=40}
{X=184, Y=40}
{X=184, Y=40}
