{X=87, Y=59}
{X=136, Y=32}
{X=171, Y=16}
{X=144, Y=32}
{X=93, Y=136}
{X=152, Y=32}
{X=127, Y=48}
{X=160, Y=32}
{X=113, Y=55}
{X=168, Y=32}
{X=208, Y=18}
{X=176, Y=32}
{X=154, Y=103}
{X=184, Y=32}
{X=213, Y=90}
{X=192, Y=32}
{X=13, Y=37}
{X=200, Y=32}
{X=204, Y=48}
{X=208, Y=32}
{X=112, Y=49}
{X=216, Y=32}
{X=94, Y=135}
{X=224, Y=32}
{X=95, Y=53}
{X=232, Y=32}
{X=38, Y=118}
{X=240, Y=32}
{X=8, Y=45}
{X=248, Y=32}
{X=184, Y=18}
{X=0, Y=40}
{X=99, Y=134}
{X=8, Y=40}
{X=50, Y=104}
{X=16, Y=40}
{X=88, Y=58}
{X=24, Y=40}
{X=96, Y=137}
{X=32, Y=40}
{X=95, Y=137}
{X=40, Y=40}
{X=86, Y=57}
{X=48, Y=40}
{X=39, Y=8}
{X=56, Y=40}
{X=80, Y=129}
{X=64, Y=40}
{X=72, Y=81}
{X=72, Y=40}
{X=200, Y=55}
{X=80, Y=40}
{X=66, Y=82}
{X=88, Y=40}
{X=86, Y=49}
{X=96, Y=40}
{X=212, Y=51}
{X=104, Y=40}
{X=216, Y=231}
{X=112, Y=40}
{X=88, Y=131}
{X=120, Y=40}
{X=69, Y=71}
{X=128, Y=40}
{X=82, Y=74}
{X=136, Y=40}
{X=69, Y=4}
{X=144, Y=40}
{X=92, Y=38}
{X=152, Y=40}
{X=83, Y=139}
{X=160, Y=40}
{X=122, Y=127}
{X=168, Y=40}
{X=75, Y=77}
{X=176, Y=40}
{X=125, Y=47}
{X=184, Y=40}
{X=17, Y=40}
{X=192, Y=40}
{X=27, Y=193}
{X=200, Y=40}
{X=22, Y=190}
{X=208, Y=40}
{X=136, Y=23}
{X=216, Y=40}
{X=56, Y=7}
{X=224, Y=40}
{X=32, Y=2}
{X=232, Y=40}
{X=115, Y=206}
{X=240, Y=40}
{X=243, Y=178}
{X=248, Y=40}
{X=47, Y=104}
{X=0, Y=48}
{X=91, Y=54}
{X=8, Y=48}
{X=88, Y=55}
{X=16, Y=48}
{X=99, Y=135}
{X=24, Y=48}
{X=91, Y=51}
{X=32, Y=48}
{X=76, Y=61}
{X=40, Y=48}
{X=93, Y=45}
{X=48, Y=48}
{X=47, Y=9}
{X=56, Y=48}
{X=103, Y=126}
{X=64, Y=48}
{X=72, Y=83}
{X=72, Y=48}
{X=80, Y=127}
{X=80, Y=48}
{X=78, Y=67}
{X=88, Y=48}
{X=90, Y=51}
{X=96, Y=48}
{X=47, Y=11}
{X=104, Y=48}
{X=140, Y=24}
{X=112, Y=48}
{X=36, Y=11}
{X=120, Y=48}
{X=186, Y=208}
{X=128, Y=48}
{X=190, Y=138}
{X=136, Y=48}
{X=200, Y=158}
{X=144, Y=48}
{X=77, Y=135}
{X=152, Y=48}
{X=215, Y=146}
{X=160, Y=48}
{X=207, Y=142}
{X=168, Y=48}
{X=81, Y=56}
{X=176, Y=48}
{X=71, Y=62}
{X=184, Y=48}
{X=108, Y=54}
{X=192, Y=48}
{X=99, Y=58}
{X=200, Y=48}
{X=71, Y=76}
{X=208, Y=48}
{X=93, Y=50}
{X=216, Y=48}
{X=56, Y=101}
{X=224, Y=48}
{X=86, Y=66}
{X=232, Y=48}
{X=101, Y=132}
{X=240, Y=48}
{X=73, Y=133}
{X=248, Y=48}
{X=174, Y=71}
{X=0, Y=56}
{X=22, Y=43}
{X=8, Y=56}
{X=96, Y=131}
{X=16, Y=56}
{X=76, Y=66}
{X=24, Y=56}
{X=35, Y=2}
{X=32, Y=56}
{X=72, Y=67}
{X=40, Y=56}
{X=83, Y=57}
{X=48, Y=56}
{X=88, Y=168}
{X=56, Y=56}
{X=245, Y=182}
{X=64, Y=56}
{X=101, Y=204}
{X=72, Y=56}
{X=56, Y=93}
{X=80, Y=56}
{X=54, Y=84}
{X=88, Y=56}
{X=35, Y=122}
{X=96, Y=56}
{X=68, Y=79}
{X=104, Y=56}
{X=93, Y=137}
{X=112, Y=56}
{X=64, Y=71}
{X=120, Y=56}
{X=77, Y=56}
{X=128, Y=56}
{X=11, Y=163}
{X=136, Y=56}
{X=83, Y=141}
{X=144, Y=56}
{X=88, Y=40}
{X=152, Y=56}
{X=205, Y=139}
{X=160, Y=56}
{X=186, Y=136}
{X=168, Y=56}
{X=202, Y=137}
{X=176, Y=56}
{X=191, Y=148}
{X=184, Y=56}
{X=2, Y=180}
{X=192, Y=56}
{X=44, Y=111}
{X=200, Y=56}
{X=67, Y=76}
{X=208, Y=56}
{X=75, Y=77}
{X=216, Y=56}
{X=134, Y=51}
{X=224, Y=56}
{X=109, Y=44}
{X=232, Y=56}
{X=99, Y=54}
{X=240, Y=56}
{X=51, Y=157}
{X=248, Y=56}
{X=217, Y=96}
{X=0, Y=64}
{X=21, Y=49}
{X=8, Y=64}
{X=110, Y=53}
{X=16, Y=64}
{X=184, Y=21}
{X=24, Y=64}
{X=50, Y=106}
{X=32, Y=64}
{X=42, Y=117}
{X=40, Y=64}
{X=122, Y=129}
{X=48, Y=64}
{X=140, Y=68}
{X=56, Y=64}
{X=220, Y=143}
{X=64, Y=64}
{X=90, Y=48}
{X=72, Y=64}
{X=88, Y=49}
{X=80, Y=64}
{X=111, Y=126}
{X=88, Y=64}
{X=86, Y=57}
{X=96, Y=64}
{X=70, Y=196}
{X=104, Y=64}
{X=80, Y=59}
{X=112, Y=64}
{X=220, Y=141}
{X=120, Y=64}
{X=88, Y=42}
{X=128, Y=64}
{X=125, Y=124}
{X=136, Y=64}
{X=240, Y=5}
{X=144, Y=64}
{X=207, Y=142}
{X=152, Y=64}
{X=143, Y=213}
{X=160, Y=64}
{X=90, Y=45}
{X=168, Y=64}
{X=86, Y=57}
{X=176, Y=64}
{X=95, Y=204}
{X=184, Y=64}
{X=215, Y=137}
{X=192, Y=64}
{X=200, Y=55}
{X=200, Y=64}
{X=78, Y=56}
{X=208, Y=64}
{X=85, Y=60}
{X=216, Y=64}
{X=113, Y=35}
{X=224, Y=64}
{X=136, Y=41}
{X=232, Y=64}
{X=147, Y=33}
{X=240, Y=64}
{X=78, Y=135}
{X=248, Y=64}
{X=10, Y=40}
{X=0, Y=72}
{X=182, Y=16}
{X=8, Y=72}
{X=49, Y=107}
{X=16, Y=72}
{X=137, Y=50}
{X=24, Y=72}
{X=111, Y=55}
{X=32, Y=72}
{X=48, Y=106}
{X=40, Y=72}
{X=49, Y=158}
{X=48, Y=72}
{X=86, Y=56}
{X=56, Y=72}
{X=72, Y=200}
{X=64, Y=72}
{X=85, Y=56}
{X=72, Y=72}
{X=2, Y=100}
{X=80, Y=72}
{X=80, Y=128}
{X=88, Y=72}
{X=36, Y=126}
{X=96, Y=72}
{X=110, Y=50}
{X=104, Y=72}
{X=62, Y=83}
{X=112, Y=72}
{X=113, Y=125}
{X=120, Y=72}
{X=96, Y=35}
{X=128, Y=72}
{X=202, Y=138}
{X=136, Y=72}
{X=193, Y=140}
{X=144, Y=72}
{X=201, Y=144}
{X=152, Y=72}
{X=36, Y=0}
{X=160, Y=72}
{X=89, Y=63}
{X=168, Y=72}
{X=48, Y=112}
{X=176, Y=72}
{X=35, Y=7}
{X=184, Y=72}
{X=88, Y=63}
{X=192, Y=72}
{X=75, Y=60}
{X=200, Y=72}
{X=140, Y=24}
{X=208, Y=72}
{X=53, Y=104}
{X=216, Y=72}
{X=203, Y=52}
{X=224, Y=72}
{X=113, Y=41}
{X=232, Y=72}
{X=28, Y=6}
{X=240, Y=72}
{X=168, Y=18}
{X=248, Y=72}
{X=125, Y=46}
{X=0, Y=80}
{X=215, Y=224}
{X=8, Y=80}
{X=145, Y=48}
{X=16, Y=80}
{X=126, Y=48}
{X=24, Y=80}
{X=106, Y=51}
{X=32, Y=80}
{X=72, Y=201}
{X=40, Y=80}
{X=81, Y=64}
{X=48, Y=80}
{X=48, Y=102}
{X=56, Y=80}
{X=88, Y=53}
{X=64, Y=80}
{X=76, Y=135}
{X=72, Y=80}
{X=93, Y=121}
{X=80, Y=80}
{X=192, Y=142}
{X=88, Y=80}
{X=83, Y=63}
{X=96, Y=80}
{X=79, Y=124}
{X=104, Y=80}
{X=99, Y=135}
