{X=139, Y=14}
{X=0, Y=0}
{X=7, Y=0}
{X=8, Y=0}
{X=4, Y=5}
{X=16, Y=0}
{X=105, Y=46}
{X=24, Y=0}
{X=240, Y=204}
{X=32, Y=0}
{X=66, Y=75}
{X=40, Y=0}
{X=56, Y=11}
{X=48, Y=0}
{X=1, Y=11}
{X=56, Y=0}
{X=56, Y=192}
{X=64, Y=0}
{X=151, Y=225}
{X=72, Y=0}
{X=78, Y=59}
{X=80, Y=0}
{X=88, Y=0}
{X=88, Y=0}
{X=66, Y=99}
{X=96, Y=0}
{X=216, Y=1}
{X=104, Y=0}
{X=181, Y=138}
{X=112, Y=0}
{X=136, Y=127}
{X=120, Y=0}
{X=77, Y=7}
{X=128, Y=0}
{X=1, Y=101}
{X=136, Y=0}
{X=162, Y=117}
{X=144, Y=0}
{X=117, Y=168}
{X=152, Y=0}
{X=111, Y=24}
{X=160, Y=0}
{X=124, Y=9}
{X=168, Y=0}
{X=156, Y=126}
{X=176, Y=0}
{X=64, Y=16}
{X=184, Y=0}
{X=191, Y=0}
{X=192, Y=0}
{X=148, Y=135}
{X=200, Y=0}
{X=112, Y=142}
{X=208, Y=0}
{X=88, Y=134}
{X=216, Y=0}
{X=95, Y=114}
{X=224, Y=0}
{X=225, Y=52}
{X=232, Y=0}
{X=81, Y=124}
{X=240, Y=0}
{X=80, Y=135}
{X=248, Y=0}
{X=1, Y=7}
{X=0, Y=8}
{X=9, Y=7}
{X=8, Y=8}
{X=56, Y=205}
{X=16, Y=8}
{X=23, Y=40}
{X=24, Y=8}
{X=31, Y=128}
{X=32, Y=8}
{X=87, Y=51}
{X=40, Y=8}
{X=36, Y=125}
{X=48, Y=8}
{X=39, Y=117}
{X=56, Y=8}
{X=236, Y=240}
{X=64, Y=8}
{X=219, Y=2}
{X=72, Y=8}
{X=148, Y=198}
{X=80, Y=8}
{X=204, Y=141}
{X=88, Y=8}
{X=200, Y=152}
{X=96, Y=8}
{X=107, Y=6}
{X=104, Y=8}
{X=107, Y=8}
{X=112, Y=8}
{X=107, Y=11}
{X=120, Y=8}
{X=128, Y=7}
{X=128, Y=8}
{X=107, Y=5}
{X=136, Y=8}
{X=109, Y=7}
{X=144, Y=8}
{X=145, Y=9}
{X=152, Y=8}
{X=160, Y=7}
{X=160, Y=8}
{X=169, Y=6}
{X=168, Y=8}
{X=177, Y=7}
{X=176, Y=8}
{X=70, Y=83}
{X=184, Y=8}
{X=192, Y=7}
{X=192, Y=8}
{X=200, Y=7}
{X=200, Y=8}
{X=209, Y=7}
{X=208, Y=8}
{X=84, Y=139}
{X=216, Y=8}
{X=224, Y=7}
{X=224, Y=8}
{X=240, Y=179}
{X=232, Y=8}
{X=79, Y=55}
{X=240, Y=8}
{X=93, Y=46}
{X=248, Y=8}
{X=0, Y=15}
{X=0, Y=16}
{X=9, Y=15}
{X=8, Y=16}
{X=16, Y=15}
{X=16, Y=16}
{X=168, Y=190}
{X=24, Y=16}
{X=231, Y=240}
{X=32, Y=16}
{X=63, Y=82}
{X=40, Y=16}
{X=48, Y=15}
{X=48, Y=16}
{X=56, Y=15}
{X=56, Y=16}
{X=28, Y=147}
{X=64, Y=16}
{X=67, Y=106}
{X=72, Y=16}
{X=242, Y=181}
{X=80, Y=16}
{X=67, Y=115}
{X=88, Y=16}
