{X=156, Y=8}
{X=0, Y=0}
{X=5, Y=1}
{X=8, Y=0}
{X=15, Y=0}
{X=16, Y=0}
{X=71, Y=68}
{X=24, Y=0}
{X=96, Y=201}
{X=32, Y=0}
{X=79, Y=65}
{X=40, Y=0}
{X=95, Y=142}
{X=48, Y=0}
{X=46, Y=109}
{X=56, Y=0}
{X=148, Y=47}
{X=64, Y=0}
{X=216, Y=135}
{X=72, Y=0}
{X=78, Y=0}
{X=80, Y=0}
{X=55, Y=103}
{X=88, Y=0}
{X=6, Y=182}
{X=96, Y=0}
{X=212, Y=147}
{X=104, Y=0}
{X=121, Y=131}
{X=112, Y=0}
{X=128, Y=144}
{X=120, Y=0}
{X=128, Y=209}
{X=128, Y=0}
{X=218, Y=149}
{X=136, Y=0}
{X=136, Y=1}
{X=144, Y=0}
{X=151, Y=0}
{X=152, Y=0}
{X=107, Y=174}
{X=160, Y=0}
{X=103, Y=6}
{X=168, Y=0}
{X=157, Y=124}
{X=176, Y=0}
{X=150, Y=139}
{X=184, Y=0}
{X=191, Y=0}
{X=192, Y=0}
{X=145, Y=143}
{X=200, Y=0}
{X=136, Y=70}
{X=208, Y=0}
{X=28, Y=128}
{X=216, Y=0}
{X=241, Y=243}
{X=224, Y=0}
{X=208, Y=54}
{X=232, Y=0}
{X=241, Y=246}
{X=240, Y=0}
{X=39, Y=6}
{X=248, Y=0}
{X=184, Y=161}
{X=0, Y=8}
{X=8, Y=8}
{X=8, Y=8}
{X=200, Y=75}
{X=16, Y=8}
{X=213, Y=224}
{X=24, Y=8}
{X=46, Y=105}
{X=32, Y=8}
{X=214, Y=141}
{X=40, Y=8}
{X=54, Y=106}
{X=48, Y=8}
{X=56, Y=96}
{X=56, Y=8}
{X=241, Y=244}
{X=64, Y=8}
{X=86, Y=140}
{X=72, Y=8}
{X=80, Y=7}
{X=80, Y=8}
{X=43, Y=128}
{X=88, Y=8}
{X=246, Y=141}
{X=96, Y=8}
{X=137, Y=8}
{X=104, Y=8}
{X=109, Y=8}
{X=112, Y=8}
{X=109, Y=10}
{X=120, Y=8}
{X=119, Y=10}
{X=128, Y=8}
{X=136, Y=7}
{X=136, Y=8}
{X=106, Y=8}
{X=144, Y=8}
{X=157, Y=6}
{X=152, Y=8}
{X=152, Y=152}
{X=160, Y=8}
{X=168, Y=8}
{X=168, Y=8}
{X=175, Y=8}
{X=176, Y=8}
{X=212, Y=146}
{X=184, Y=8}
{X=192, Y=7}
{X=192, Y=8}
{X=201, Y=7}
{X=200, Y=8}
{X=0, Y=81}
{X=208, Y=8}
{X=48, Y=161}
{X=216, Y=8}
{X=200, Y=66}
{X=224, Y=8}
{X=240, Y=7}
{X=232, Y=8}
{X=242, Y=7}
{X=240, Y=8}
{X=241, Y=7}
{X=248, Y=8}
{X=49, Y=161}
{X=0, Y=16}
{X=8, Y=15}
{X=8, Y=16}
{X=16, Y=15}
{X=16, Y=16}
{X=24, Y=16}
{X=24, Y=16}
{X=191, Y=24}
{X=32, Y=16}
{X=40, Y=15}
{X=40, Y=16}
{X=99, Y=128}
{X=48, Y=16}
{X=56, Y=15}
{X=56, Y=16}
{X=102, Y=35}
{X=64, Y=16}
{X=72, Y=15}
{X=72, Y=16}
{X=183, Y=150}
{X=80, Y=16}
{X=138, Y=0}
{X=88, Y=16}
{X=64, Y=127}
{X=96, Y=16}
{X=127, Y=22}
{X=104, Y=16}
{X=172, Y=135}
{X=112, Y=16}
{X=245, Y=61}
{X=120, Y=16}
{X=36, Y=24}
{X=128, Y=16}
{X=133, Y=16}
{X=136, Y=16}
{X=145, Y=14}
{X=144, Y=16}
{X=165, Y=156}
{X=152, Y=16}
{X=168, Y=8}
{X=160, Y=16}
{X=109, Y=45}
{X=168, Y=16}
{X=176, Y=15}
{X=176, Y=16}
{X=184, Y=16}
