{X=1, Y=1}
{X=0, Y=0}
{X=9, Y=3}
{X=8, Y=0}
{X=15, Y=2}
{X=16, Y=0}
{X=0, Y=52}
{X=24, Y=0}
{X=63, Y=87}
{X=32, Y=0}
{X=91, Y=54}
{X=40, Y=0}
{X=39, Y=117}
{X=48, Y=0}
{X=31, Y=187}
{X=56, Y=0}
{X=62, Y=1}
{X=64, Y=0}
{X=68, Y=126}
{X=72, Y=0}
{X=67, Y=108}
{X=80, Y=0}
{X=79, Y=61}
{X=88, Y=0}
{X=94, Y=1}
{X=96, Y=0}
{X=103, Y=1}
{X=104, Y=0}
{X=129, Y=126}
{X=112, Y=0}
{X=118, Y=1}
{X=120, Y=0}
{X=64, Y=100}
{X=128, Y=0}
{X=144, Y=0}
{X=136, Y=0}
{X=145, Y=1}
{X=144, Y=0}
{X=150, Y=1}
{X=152, Y=0}
{X=159, Y=2}
{X=160, Y=0}
{X=104, Y=7}
{X=168, Y=0}
{X=173, Y=2}
{X=176, Y=0}
{X=181, Y=2}
{X=184, Y=0}
{X=56, Y=128}
{X=192, Y=0}
{X=32, Y=26}
{X=200, Y=0}
{X=208, Y=1}
{X=208, Y=0}
{X=105, Y=51}
{X=216, Y=0}
{X=150, Y=62}
{X=224, Y=0}
{X=32, Y=96}
{X=232, Y=0}
{X=61, Y=97}
{X=240, Y=0}
{X=235, Y=7}
{X=248, Y=0}
{X=0, Y=9}
{X=0, Y=8}
{X=8, Y=10}
{X=8, Y=8}
{X=16, Y=10}
{X=16, Y=8}
{X=180, Y=22}
{X=24, Y=8}
{X=131, Y=52}
{X=32, Y=8}
{X=207, Y=142}
{X=40, Y=8}
{X=72, Y=83}
{X=48, Y=8}
{X=99, Y=133}
{X=56, Y=8}
{X=64, Y=9}
{X=64, Y=8}
{X=87, Y=138}
{X=72, Y=8}
{X=67, Y=100}
{X=80, Y=8}
{X=121, Y=203}
{X=88, Y=8}
{X=96, Y=10}
{X=96, Y=8}
{X=109, Y=8}
{X=104, Y=8}
{X=110, Y=10}
{X=112, Y=8}
{X=110, Y=12}
{X=120, Y=8}
{X=115, Y=13}
{X=128, Y=8}
{X=134, Y=10}
{X=136, Y=8}
{X=141, Y=10}
{X=144, Y=8}
{X=145, Y=11}
{X=152, Y=8}
{X=131, Y=19}
{X=160, Y=8}
{X=168, Y=9}
{X=168, Y=8}
{X=168, Y=164}
{X=176, Y=8}
{X=65, Y=112}
{X=184, Y=8}
{X=192, Y=9}
{X=192, Y=8}
{X=199, Y=9}
{X=200, Y=8}
{X=209, Y=9}
{X=208, Y=8}
{X=216, Y=10}
{X=216, Y=8}
{X=173, Y=142}
{X=224, Y=8}
{X=173, Y=142}
{X=232, Y=8}
{X=174, Y=142}
{X=240, Y=8}
{X=184, Y=137}
{X=248, Y=8}
{X=234, Y=208}
{X=0, Y=16}
{X=8, Y=17}
{X=8, Y=16}
{X=16, Y=17}
{X=16, Y=16}
{X=23, Y=17}
{X=24, Y=16}
{X=31, Y=17}
{X=32, Y=16}
{X=41, Y=17}
{X=40, Y=16}
{X=100, Y=127}
{X=48, Y=16}
{X=88, Y=132}
{X=56, Y=16}
{X=63, Y=17}
{X=64, Y=16}
{X=66, Y=130}
{X=72, Y=16}
{X=182, Y=178}
{X=80, Y=16}
{X=91, Y=16}
{X=88, Y=16}
{X=98, Y=17}
{X=96, Y=16}
{X=92, Y=90}
{X=104, Y=16}
{X=112, Y=18}
