{X=71, Y=220}
{X=136, Y=32}
{X=146, Y=31}
{X=144, Y=32}
{X=154, Y=31}
{X=152, Y=32}
{X=161, Y=32}
{X=160, Y=32}
{X=170, Y=31}
{X=168, Y=32}
{X=178, Y=31}
{X=176, Y=32}
{X=157, Y=26}
{X=184, Y=32}
{X=194, Y=32}
{X=192, Y=32}
{X=207, Y=41}
{X=200, Y=32}
{X=226, Y=49}
{X=208, Y=32}
{X=225, Y=39}
{X=216, Y=32}
{X=200, Y=9}
{X=224, Y=32}
{X=221, Y=17}
{X=232, Y=32}
{X=241, Y=29}
{X=240, Y=32}
{X=234, Y=38}
{X=248, Y=32}
{X=0, Y=39}
{X=0, Y=40}
{X=8, Y=38}
{X=8, Y=40}
{X=18, Y=40}
{X=16, Y=40}
{X=22, Y=34}
{X=24, Y=40}
{X=208, Y=209}
{X=32, Y=40}
{X=37, Y=35}
{X=40, Y=40}
{X=48, Y=39}
{X=48, Y=40}
{X=56, Y=38}
{X=56, Y=40}
{X=64, Y=36}
{X=64, Y=40}
{X=72, Y=42}
{X=72, Y=40}
{X=87, Y=56}
{X=80, Y=40}
{X=88, Y=40}
{X=88, Y=40}
{X=59, Y=144}
{X=96, Y=40}
{X=102, Y=41}
{X=104, Y=40}
{X=111, Y=41}
{X=112, Y=40}
{X=122, Y=39}
{X=120, Y=40}
{X=146, Y=41}
{X=128, Y=40}
{X=138, Y=39}
{X=136, Y=40}
{X=146, Y=39}
{X=144, Y=40}
{X=153, Y=39}
{X=152, Y=40}
{X=163, Y=39}
{X=160, Y=40}
{X=166, Y=40}
{X=168, Y=40}
{X=179, Y=40}
{X=176, Y=40}
{X=173, Y=37}
{X=184, Y=40}
{X=191, Y=40}
{X=192, Y=40}
{X=202, Y=41}
{X=200, Y=40}
{X=208, Y=39}
{X=208, Y=40}
{X=230, Y=53}
{X=216, Y=40}
{X=224, Y=38}
{X=224, Y=40}
{X=234, Y=40}
{X=232, Y=40}
{X=244, Y=37}
{X=240, Y=40}
{X=245, Y=28}
{X=248, Y=40}
{X=0, Y=48}
{X=0, Y=48}
{X=8, Y=47}
{X=8, Y=48}
{X=17, Y=48}
{X=16, Y=48}
{X=23, Y=47}
{X=24, Y=48}
{X=28, Y=46}
{X=32, Y=48}
{X=41, Y=47}
{X=40, Y=48}
{X=48, Y=47}
{X=48, Y=48}
{X=56, Y=44}
{X=56, Y=48}
{X=64, Y=53}
{X=64, Y=48}
{X=72, Y=57}
{X=72, Y=48}
{X=79, Y=50}
{X=80, Y=48}
{X=88, Y=49}
{X=88, Y=48}
