{X=10, Y=16}
{X=0, Y=0}
{X=0, Y=225}
{X=8, Y=0}
{X=15, Y=238}
{X=16, Y=0}
{X=7, Y=230}
{X=24, Y=0}
{X=39, Y=0}
{X=32, Y=0}
{X=45, Y=6}
{X=40, Y=0}
{X=53, Y=11}
{X=48, Y=0}
{X=56, Y=21}
{X=56, Y=0}
{X=62, Y=22}
{X=64, Y=0}
{X=88, Y=32}
{X=72, Y=0}
{X=104, Y=36}
{X=80, Y=0}
{X=314, Y=66}
{X=88, Y=0}
{X=329, Y=65}
{X=96, Y=0}
{X=105, Y=4}
{X=104, Y=0}
{X=113, Y=5}
{X=112, Y=0}
{X=122, Y=11}
{X=120, Y=0}
{X=129, Y=5}
{X=128, Y=0}
{X=140, Y=7}
{X=136, Y=0}
{X=162, Y=20}
{X=144, Y=0}
{X=178, Y=12}
{X=152, Y=0}
{X=188, Y=0}
{X=160, Y=0}
{X=231, Y=503}
{X=168, Y=0}
{X=176, Y=1}
{X=176, Y=0}
{X=168, Y=0}
{X=184, Y=0}
{X=171, Y=0}
{X=192, Y=0}
{X=186, Y=7}
{X=200, Y=0}
{X=197, Y=3}
{X=208, Y=0}
{X=216, Y=0}
{X=216, Y=0}
{X=224, Y=0}
{X=224, Y=0}
{X=232, Y=0}
{X=232, Y=0}
{X=149, Y=24}
{X=240, Y=0}
{X=172, Y=25}
{X=248, Y=0}
{X=256, Y=7}
{X=256, Y=0}
{X=263, Y=0}
{X=264, Y=0}
{X=273, Y=1}
{X=272, Y=0}
{X=272, Y=5}
{X=280, Y=0}
{X=288, Y=0}
{X=288, Y=0}
{X=296, Y=0}
{X=296, Y=0}
{X=304, Y=1}
{X=304, Y=0}
{X=316, Y=3}
{X=312, Y=0}
{X=358, Y=8}
{X=320, Y=0}
{X=358, Y=6}
{X=328, Y=0}
{X=336, Y=0}
{X=336, Y=0}
{X=345, Y=0}
{X=344, Y=0}
{X=350, Y=0}
{X=352, Y=0}
{X=359, Y=0}
{X=360, Y=0}
{X=369, Y=0}
{X=368, Y=0}
{X=377, Y=0}
{X=376, Y=0}
{X=392, Y=14}
{X=384, Y=0}
{X=90, Y=243}
{X=392, Y=0}
{X=131, Y=3}
{X=400, Y=0}
{X=374, Y=12}
{X=408, Y=0}
{X=415, Y=0}
{X=416, Y=0}
{X=424, Y=0}
{X=424, Y=0}
{X=431, Y=0}
{X=432, Y=0}
{X=440, Y=0}
{X=440, Y=0}
{X=447, Y=0}
{X=448, Y=0}
{X=454, Y=0}
{X=456, Y=0}
{X=454, Y=0}
{X=464, Y=0}
{X=473, Y=0}
{X=472, Y=0}
{X=482, Y=0}
{X=480, Y=0}
{X=490, Y=0}
{X=488, Y=0}
{X=492, Y=1}
{X=496, Y=0}
{X=236, Y=76}
{X=504, Y=0}
{X=8, Y=14}
{X=0, Y=8}
{X=20, Y=16}
{X=8, Y=8}
{X=27, Y=15}
{X=16, Y=8}
{X=42, Y=26}
{X=24, Y=8}
{X=56, Y=40}
{X=32, Y=8}
{X=48, Y=10}
{X=40, Y=8}
{X=56, Y=19}
{X=48, Y=8}
{X=60, Y=19}
{X=56, Y=8}
{X=67, Y=27}
{X=64, Y=8}
{X=83, Y=14}
{X=72, Y=8}
{X=84, Y=9}
{X=80, Y=8}
{X=425, Y=13}
{X=88, Y=8}
{X=100, Y=12}
{X=96, Y=8}
{X=104, Y=18}
{X=104, Y=8}
{X=120, Y=8}
{X=112, Y=8}
{X=124, Y=1}
{X=120, Y=8}
{X=129, Y=5}
{X=128, Y=8}
{X=144, Y=18}
{X=136, Y=8}
{X=205, Y=26}
{X=144, Y=8}
{X=160, Y=14}
{X=152, Y=8}
{X=175, Y=5}
{X=160, Y=8}
{X=167, Y=0}
{X=168, Y=8}
{X=181, Y=0}
{X=176, Y=8}
{X=185, Y=6}
{X=184, Y=8}
{X=192, Y=8}
{X=192, Y=8}
{X=200, Y=8}
{X=200, Y=8}
{X=208, Y=8}
{X=208, Y=8}
{X=216, Y=8}
{X=216, Y=8}
{X=223, Y=8}
{X=224, Y=8}
{X=233, Y=8}
{X=232, Y=8}
{X=240, Y=9}
{X=240, Y=8}
{X=242, Y=18}
{X=248, Y=8}
{X=226, Y=20}
{X=256, Y=8}
{X=212, Y=21}
{X=264, Y=8}
{X=245, Y=19}
{X=272, Y=8}
{X=143, Y=18}
{X=280, Y=8}
{X=260, Y=26}
{X=288, Y=8}
{X=264, Y=23}
{X=296, Y=8}
{X=270, Y=24}
{X=304, Y=8}
{X=276, Y=10}
{X=312, Y=8}
{X=292, Y=10}
{X=320, Y=8}
{X=351, Y=12}
{X=328, Y=8}
{X=328, Y=14}
{X=336, Y=8}
{X=313, Y=7}
{X=344, Y=8}
{X=311, Y=5}
{X=352, Y=8}
{X=352, Y=11}
{X=360, Y=8}
{X=367, Y=9}
{X=368, Y=8}
{X=377, Y=9}
{X=376, Y=8}
{X=168, Y=54}
{X=384, Y=8}
{X=136, Y=28}
{X=392, Y=8}
{X=261, Y=44}
{X=400, Y=8}
{X=408, Y=7}
{X=408, Y=8}
{X=415, Y=8}
{X=416, Y=8}
{X=424, Y=8}
{X=424, Y=8}
{X=432, Y=9}
{X=432, Y=8}
{X=439, Y=8}
{X=440, Y=8}
{X=448, Y=8}
{X=448, Y=8}
{X=456, Y=8}
{X=456, Y=8}
{X=464, Y=8}
{X=464, Y=8}
{X=474, Y=8}
{X=472, Y=8}
{X=476, Y=9}
{X=480, Y=8}
{X=486, Y=8}
{X=488, Y=8}
{X=496, Y=9}
{X=496, Y=8}
{X=346, Y=341}
{X=504, Y=8}
{X=12, Y=24}
{X=0, Y=16}
{X=24, Y=37}
{X=8, Y=16}
{X=26, Y=30}
{X=16, Y=16}
{X=27, Y=14}
{X=24, Y=16}
{X=41, Y=22}
{X=32, Y=16}
{X=45, Y=15}
{X=40, Y=16}
{X=101, Y=59}
{X=48, Y=16}
{X=58, Y=13}
{X=56, Y=16}
{X=74, Y=29}
{X=64, Y=16}
{X=82, Y=29}
{X=72, Y=16}
{X=90, Y=30}
{X=80, Y=16}
{X=94, Y=24}
{X=88, Y=16}
{X=101, Y=7}
{X=96, Y=16}
{X=110, Y=8}
{X=104, Y=16}
{X=140, Y=36}
{X=112, Y=16}
{X=128, Y=20}
{X=120, Y=16}
{X=133, Y=14}
{X=128, Y=16}
{X=136, Y=9}
{X=136, Y=16}
{X=144, Y=9}
{X=144, Y=16}
{X=156, Y=16}
{X=152, Y=16}
{X=162, Y=15}
{X=160, Y=16}
{X=177, Y=7}
{X=168, Y=16}
{X=178, Y=12}
{X=176, Y=16}
{X=170, Y=5}
{X=184, Y=16}
{X=178, Y=8}
{X=192, Y=16}
{X=200, Y=17}
{X=200, Y=16}
{X=208, Y=17}
{X=208, Y=16}
{X=217, Y=21}
{X=216, Y=16}
{X=229, Y=23}
{X=224, Y=16}
{X=231, Y=16}
{X=232, Y=16}
{X=144, Y=13}
{X=240, Y=16}
{X=181, Y=28}
{X=248, Y=16}
{X=185, Y=28}
{X=256, Y=16}
{X=148, Y=11}
{X=264, Y=16}
{X=216, Y=33}
{X=272, Y=16}
{X=176, Y=39}
{X=280, Y=16}
{X=256, Y=32}
{X=288, Y=16}
{X=278, Y=10}
{X=296, Y=16}
{X=268, Y=24}
{X=304, Y=16}
{X=263, Y=24}
{X=312, Y=16}
{X=262, Y=25}
{X=320, Y=16}
{X=278, Y=11}
{X=328, Y=16}
{X=278, Y=11}
{X=336, Y=16}
{X=278, Y=12}
{X=344, Y=16}
{X=277, Y=13}
{X=352, Y=16}
{X=282, Y=28}
{X=360, Y=16}
{X=331, Y=19}
{X=368, Y=16}
{X=335, Y=24}
{X=376, Y=16}
{X=376, Y=15}
{X=384, Y=16}
{X=390, Y=15}
{X=392, Y=16}
{X=399, Y=16}
{X=400, Y=16}
{X=408, Y=16}
{X=408, Y=16}
{X=338, Y=50}
{X=416, Y=16}
{X=410, Y=20}
{X=424, Y=16}
{X=95, Y=25}
{X=432, Y=16}
{X=433, Y=16}
{X=440, Y=16}
{X=458, Y=21}
{X=448, Y=16}
{X=457, Y=17}
{X=456, Y=16}
{X=462, Y=17}
{X=464, Y=16}
{X=472, Y=17}
{X=472, Y=16}
{X=478, Y=17}
{X=480, Y=16}
{X=486, Y=16}
{X=488, Y=16}
{X=496, Y=18}
{X=496, Y=16}
{X=432, Y=72}
{X=504, Y=16}
{X=6, Y=29}
{X=0, Y=24}
{X=6, Y=14}
{X=8, Y=24}
{X=22, Y=32}
{X=16, Y=24}
{X=48, Y=52}
{X=24, Y=24}
{X=29, Y=12}
{X=32, Y=24}
{X=44, Y=26}
{X=40, Y=24}
{X=87, Y=57}
{X=48, Y=24}
{X=58, Y=25}
{X=56, Y=24}
{X=74, Y=28}
{X=64, Y=24}
{X=90, Y=34}
{X=72, Y=24}
{X=86, Y=26}
{X=80, Y=24}
{X=96, Y=19}
{X=88, Y=24}
{X=101, Y=8}
{X=96, Y=24}
{X=104, Y=20}
{X=104, Y=24}
{X=125, Y=28}
{X=112, Y=24}
{X=128, Y=27}
{X=120, Y=24}
{X=144, Y=38}
{X=128, Y=24}
{X=137, Y=20}
{X=136, Y=24}
{X=146, Y=22}
{X=144, Y=24}
{X=178, Y=27}
{X=152, Y=24}
{X=216, Y=22}
{X=160, Y=24}
{X=178, Y=19}
{X=168, Y=24}
{X=176, Y=20}
{X=176, Y=24}
{X=192, Y=17}
{X=184, Y=24}
{X=160, Y=12}
{X=192, Y=24}
{X=166, Y=13}
{X=200, Y=24}
{X=173, Y=12}
{X=208, Y=24}
{X=171, Y=15}
{X=216, Y=24}
{X=205, Y=25}
{X=224, Y=24}
{X=222, Y=20}
{X=232, Y=24}
{X=176, Y=26}
{X=240, Y=24}
{X=248, Y=23}
{X=248, Y=24}
{X=184, Y=35}
{X=256, Y=24}
{X=247, Y=20}
{X=264, Y=24}
{X=266, Y=24}
{X=272, Y=24}
{X=320, Y=19}
{X=280, Y=24}
{X=321, Y=20}
{X=288, Y=24}
{X=291, Y=11}
{X=296, Y=24}
{X=281, Y=13}
{X=304, Y=24}
{X=261, Y=35}
{X=312, Y=24}
{X=140, Y=15}
{X=320, Y=24}
{X=264, Y=36}
{X=328, Y=24}
{X=334, Y=20}
{X=336, Y=24}
{X=357, Y=20}
{X=344, Y=24}
{X=352, Y=24}
